customer_id,age,gender,occupation,income,region,health_status,driving_years,accident_count
CUST_001000,35,男性,会社員,5500000,東京,良好,15,0
CUST_001001,42,女性,医師,11000000,大阪,非常に良好,20,0
CUST_001002,28,男性,IT関係,6200000,神奈川,普通,8,1
CUST_001003,51,女性,公務員,6800000,愛知,良好,25,0
CUST_001004,39,男性,自営業,4200000,福岡,やや不安,18,2
CUST_001005,44,女性,教師,5800000,北海道,良好,22,0
CUST_001006,33,男性,建設業,4800000,埼玉,普通,12,1
CUST_001007,47,女性,弁護士,9500000,東京,非常に良好,25,0
CUST_001008,29,男性,販売業,3800000,千葉,普通,9,0
CUST_001009,56,女性,製造業,5200000,静岡,やや不安,30,1
CUST_001010,38,男性,運輸業,4600000,兵庫,普通,16,3
CUST_001011,31,女性,会社員,5400000,京都,良好,11,0
CUST_001012,49,男性,医師,13500000,東京,非常に良好,28,0
CUST_001013,26,女性,IT関係,5900000,神奈川,良好,6,0
CUST_001014,53,男性,公務員,7200000,宮城,普通,32,1
CUST_001015,41,女性,自営業,3900000,広島,やや不安,20,2
CUST_001016,37,男性,教師,5600000,新潟,良好,16,0
CUST_001017,45,女性,建設業,4900000,長野,普通,23,1
CUST_001018,32,男性,弁護士,8800000,大阪,非常に良好,12,0
CUST_001019,50,女性,販売業,4100000,岐阜,やや不安,27,2
CUST_001020,36,男性,製造業,5100000,群馬,普通,15,1
